"Name","Phone","Website","Primary Email","Owner Name","Owner Role","Rating","Reviews","Intent","Lead Score","Website Quality","City","Niche"
"Viva Wellness of Atlanta","+1 678-727-8984","https://viva-atlanta.com/","info@viva-atlanta.com [risky]","FACEP Medical Director","","4.8","51","LOW","75","","Acworth, GA, US","Med spa"
"Evolve Energy Therapy LLC","+1 404-632-1217","https://evolveenergytherapy.com/","evolveenrgytherapy@gmail.com [risky]","","","","0","MEDIUM","85","","Acworth, GA, US","Med spa"
"Shanghai Spa","+1 470-640-5916","https://shanghaispaga.wixsite.com/shanghaispa","info@shanghaispa.com [risky]","","","","0","MEDIUM","85","","Acworth, GA, US","Med spa"
"A New You Skin & Body Clinic","+1 678-739-0040","https://www.anewyouclinic.com/","","","","5.0","35","HIGH","85","","Acworth, GA, US","Med spa"
"The Spa at Holbrook Acworth","+1 404-576-0377","https://thespaatholbrook.com/","","you and your","","5.0","227","MEDIUM","55","","Acworth, GA, US","Med spa"
"Luxe Body Medical","+1 770-926-4300","http://beautifulmemedspa.com/","","dealing with the","","","0","HIGH","85","","Acworth, GA, US","Med spa"
"One Energy Wellness Spa","+1 770-966-2999","http://www.oneenergywellnessspa.com/","","","","4.1","101","HIGH","85","","Acworth, GA, US","Med spa"
"Vibe Aesthetics - Marietta MedSpa","+1 770-733-6585","https://vibeaesthetics.com/?utm_source=gbp&utm_medium=organic&utm_campaign=web-click","","","","5.0","14","HIGH","85","","Acworth, GA, US","Med spa"
"Neeta Spa & Salon","+1 404-500-9682","https://neetasalon.com/","neetabringyourbeauty@gmail.com [risky]","","","4.9","67","LOW","75","","Acworth, GA, US","Med spa"
"Xanbody Medical/Aesthetics","+1 770-558-9773","https://newyouaesthetic.com/","support@newyouaesthetic.com [risky]","with both the","","","0","MEDIUM","85","","Acworth, GA, US","Med spa"
"Natural Body Spa | Marietta","+1 770-874-7500","https://www.naturalbody.com/spa-locations/georgia-marietta","","","","4.7","1254","MEDIUM","50","","Acworth, GA, US","Med spa"
"Georgia Integrated Health Center","+1 770-975-0585","https://georgiaintegrated.com/?utm_source=GBP&utm_medium=organic","example@gmail.com [risky]","","","3.7","11","MEDIUM","95","","Acworth, GA, US","Med spa"
"Morris Code Beauty Skin Care Clinic","+1 678-653-6320","http://morriscodebeauty.com/","","","","4.8","84","HIGH","75","","Acworth, GA, US","Med spa"
"Elite Retreat Salon & Spa","+1 770-794-1811","http://www.eliteretreatkennesaw.com/","","","","4.9","12","HIGH","85","","Acworth, GA, US","Med spa"
"The Spa at Holbrook Woodstock","+1 678-383-1643","https://thespaatholbrook.com/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB","","you and your","","4.7","144","HIGH","65","","Acworth, GA, US","Med spa"
"wHydrate - IV Hydration Therapy","+1 470-399-9198","https://whydrate.com/locations/iv-therapy-kennesaw-ga/","kennesaw@whydrate.me [risky]","Guidelines
Franchise Opportunities","","4.9","161","LOW","55","","Acworth, GA, US","Med spa"
"Ingrid's Spa and Wellness","+1 770-771-2481","https://ingridwellness.com/","ingberg10@hotmail.com [risky]","","","4.7","144","LOW","65","","Acworth, GA, US","Med spa"
"Massage Now","+1 404-934-0215","http://www.thesunshowermassage.com/","impallari@gmail.com [risky]","","","","0","MEDIUM","85","","Acworth, GA, US","Med spa"
"Massage Envy","+1 770-974-0880","https://locations.massageenvy.com/georgia/acworth/3384-cobb-parkway.html?utm_source=GMB&utm_medium=useractions&utm_campaign=website","","","","4.7","171","MEDIUM","55","","Acworth, GA, US","Med spa"
"Oasis Detox Spa for Women","+1 706-264-7638","https://oasisdetoxsite.wixsite.com/mysite","oasisdetoxspaforwomen@gmail.com [risky]","","","4.2","19","MEDIUM","95","","Adairsville, GA, US","Med spa"
"Glitzy Skin LLC","+1 762-204-7380","https://cassiewarren.glossgenius.com/","glitzyskin.cassie@gmail.com [risky]","Esthetician and the","","5.0","238","LOW","55","","Adairsville, GA, US","Med spa"
"REFLECTIONS MEDICAL SPA","+1 770-383-3552","https://reflections.spa/","","Staff
Holly Allen","","4.9","40","HIGH","85","","Adairsville, GA, US","Med spa"
"CareConnect Family Practice, Alamo","+1 912-568-1438","https://ccthealth.org/careconnect-family-practice-alamo","","","","4.0","2","HIGH","100","","Alamo, GA, US","Med spa"
"Envy Med Spas- Albany","+1 229-744-7809","https://envymedspas.com/","","Healthcare Administration","","4.9","57","HIGH","75","","Albany, GA, US","Med spa"
"iCanDee Body Spa","+1 229-744-7809","https://envymedspas.com/","","Healthcare Administration","","","0","HIGH","85","","Albany, GA, US","Med spa"
"Exquisite Luxe day spa","+1 229-575-6683","https://exquisiteluxe.as.me/schedule.php","","","","","0","HIGH","85","","Albany, GA, US","Med spa"
"Vita-Fuse Albany","+1 229-405-1088","http://vita-fuse.com/","","","","","0","HIGH","85","","Albany, GA, US","Med spa"
"Pure Tranquility Day Spa & Massage","+1 229-291-2592","http://vagaro.com/puretranquilitydayspaandmassage3","","","","","0","HIGH","85","","Albany, GA, US","Med spa"
